Company Name,Company Information
Quikr India Pvt Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560045
Razorpay Software Pvt Ltd,"Industry : BFSI, E -CommerceSub Industry : Financial ServicesCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560030"
Regrob Tech,"Industry : Construction, Infrastructure, E -CommerceSub Industry : Estate ServicesCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560055"
RentSher Online Rentals Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560045
Rocket Science Innovations Pvt Ltd ( BuyT ),Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560034
Roper Transportation Service Pvt Ltd ( Rapido ),Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560102
Sakhi- By Chandras,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560038
Sapna Infoway Pvt Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560009
Saraswati Online.com India Ltd,"Industry : Institutes - Educational , Training, E -CommerceSub Industry : Educational ConsultantsCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560003"
Sarvaloka Services On Call Pvt Ltd (Housingjoy.in),Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560071
Sea Bird Travels,"Industry : Travel , Tourism, E -CommerceSub Industry : Tourism & Transport ServicesCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560009"
ShoppingNU,"Industry : Advertising , Media, E -CommerceSub Industry : Advertising , PR , MRCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560076"
SOLES Fashions Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560043
Sparket Marketing Pvt Ltd,"Industry : Advertising , Media, E -CommerceSub Industry : Event ManagementCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560001"
T Base,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560058
teakandwalnut.com,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560043
Techybees educon Pvt Ltd,"Industry : Institutes - Educational , Training, E -CommerceSub Industry : Institutes - OthersCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560043"
TeckPot,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560092
The EcoStore,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560102
The Entertainment Store,"Industry : Entertainment, E -CommerceSub Industry : Sports , Toys, Entertainment ProductCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560001"
The Property Times,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560046
TheOrganic Life,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560076
TJS Solutions Pvt Ltd,"Industry : Information Technology (IT), E -CommerceSub Industry : IT Software , QA -TestingCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560025"
Toboc International,Industry : E -CommerceCompany Type  : MNCLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560038
Transaction Analysts India Pvt Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560076
Ullal Holidays,"Industry : Travel , Tourism, E -CommerceSub Industry : Tourism & Transport ServicesCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560009"
Urban Ladder,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560037
UrbanPro.com ( ThinkVidya Learning Pvt Ltd ),Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560076
VA Foodcom Pvt Ltd ( WoknTava ),"Industry : Food , FMCG , Agriculture, E -CommerceSub Industry : Food ProcessingCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560095"
ValueCart.in,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560009
Vebbler Technologies Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560038
Vedantu Innovations Pvt Ltd ( Vedantu ),Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560102
VH Education Services Pvt Ltd,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560008
Via.com ( Flightraja Travels Pvt Ltd ),"Industry : Travel , Tourism, E -CommerceSub Industry : Travel Agencies , Taxi ServicesCompany Type  : India's 501-1000Level of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560045"
Voonik Technologies Pvt Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560045
Vymo Solutions Pvt Ltd,"Industry : Consulting, E -CommerceSub Industry : ManagementCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560034"
WebAffinity Technology Pvt Ltd( Evening Flavors),Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560017
Webhosting Tech Labs,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560078
WildTrails Technologies Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560095
Wooplr Technologies Pvt Ltd,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560095
WOW Laundry,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560037
YourDOST,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560095
Zelo.in,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560034
Zero Effort Technologies Pvt Ltd ( ZEFO ),Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560035
Ziotiv Technologies Pvt Ltd (Carmozo ),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560092
ZN Retail Pvt Ltd (ZopNow.com),Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560102
ZOIRO,"Industry : Retail, E -CommerceSub Industry : Apparel StoresCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560102"
